id,issue,solve
1656,Outlook gagal memuat add-in,Nonaktifkan add-in bermasalah dari File > Options > Add-ins > COM Add-ins.
1657,Office 365 meminta aktivasi ulang,Login ulang menggunakan akun Microsoft 365 dan pastikan langganan masih aktif.
1658,Outlook tidak menampilkan avatar pengirim,Aktifkan tampilan People Pane di View > People Pane > Normal.
1659,Outlook tidak bisa mengirim email dengan lampiran besar,Gunakan OneDrive untuk berbagi file besar dan kirim tautan unduhan ke penerima.
1660,Outlook Web tidak menampilkan kalender perusahaan,Pastikan akun terhubung ke organisasi Microsoft 365 dan hak akses kalender telah diberikan.
1661,Outlook Web tidak bisa mencari email,Bersihkan cache browser dan gunakan fitur “Advanced Search” untuk hasil lebih akurat.
1662,Office 365 tidak bisa diinstal,Unduh ulang installer resmi dari akun Microsoft 365 dan jalankan sebagai administrator.
1663,Outlook Desktop tidak sinkron dengan kontak di ponsel,Aktifkan sinkronisasi akun Microsoft di kedua perangkat.
1664,Outlook menampilkan error “Data file cannot be accessed”,Hapus profil email lalu tambahkan kembali melalui Control Panel > Mail.
1665,Office 365 tidak bisa login di Word/Excel,Pastikan kredensial akun benar dan tidak diblokir oleh kebijakan organisasi.
1666,Outlook tidak menampilkan preview lampiran,Hapus cache Outlook dan perbarui Office ke versi terbaru.
1667,Email terhapus otomatis dari inbox,Periksa aturan (Rules) dan filter yang mungkin menghapus pesan secara otomatis.
1668,Outlook tidak bisa menampilkan email HTML,Aktifkan tampilan HTML di File > Options > Trust Center > Email Security.
1669,Outlook Web menampilkan pesan “Session expired”,Login ulang dan pastikan cookie browser tidak dihapus otomatis.
1670,Tidak bisa login ke Teams dari Office 365,Pastikan akun Microsoft 365 aktif dan autentikasi multi-faktor berhasil.
1671,Office 365 tidak bisa menyimpan file ke OneDrive,Periksa koneksi internet dan kapasitas penyimpanan di akun OneDrive.
1672,Outlook lambat memuat folder besar,Pisahkan email ke beberapa folder dan aktifkan mode Cached Exchange.
1673,Tidak bisa menambahkan file OneDrive di email,Login ke akun OneDrive terlebih dahulu agar integrasi Outlook aktif.
1674,Outlook tidak bisa menampilkan nama pengirim,Sinkronkan ulang daftar kontak dan pastikan tidak ada duplikasi akun.
1675,Outlook menampilkan pesan “Profile cannot be loaded”,Hapus profil lama melalui Control Panel > Mail > Profiles dan buat profil baru.
1676,Office 365 tidak bisa membuka Excel Online,Gunakan browser versi terbaru dan nonaktifkan ekstensi pemblokir skrip.
1677,Outlook tidak bisa menandai email penting,Aktifkan fitur “Focused Inbox” dan pastikan sinkronisasi aktif.
1678,Outlook Web tidak bisa menghapus email,Segarkan halaman atau gunakan opsi “Shift + Delete” untuk menghapus permanen.
1679,Outlook Desktop error “Outlook Data File Full”,Kompres atau arsipkan file PST lama untuk mengosongkan ruang penyimpanan.
1680,Tidak bisa membuka link dari email Outlook,Setel ulang browser default di pengaturan sistem Windows.
1681,Outlook tidak bisa menampilkan kategori warna,Aktifkan opsi “Show Categories Column” di tampilan pesan.
1682,Email terkirim tersangkut di kotak keluar (Outbox),Tekan tombol “Send/Receive” dan pastikan koneksi internet tidak terputus.
1683,Outlook Web tidak bisa login di jaringan kantor,Pastikan firewall atau proxy tidak memblokir domain outlook.office.com.
1684,Office 365 gagal aktivasi karena jaringan,Coba aktivasi ulang setelah mengganti jaringan atau menonaktifkan VPN.
1685,Outlook tidak bisa menyimpan kontak baru,Pastikan file data (.pst/.ost) tidak dalam mode baca-saja.
1686,Outlook Web tidak menampilkan tanda baca (signature),Tambahkan ulang tanda tangan dari menu Settings > Mail > Compose and reply.
1687,Email lama tidak bisa diarsipkan,Jalankan fitur AutoArchive manual melalui menu File > Tools > Mailbox Cleanup.
1688,Outlook tidak menampilkan pesan terkirim di ponsel,Aktifkan sinkronisasi dua arah (IMAP) agar pesan tampil di semua perangkat.
1689,Outlook error “Something went wrong”,Jalankan perintah perbaikan cepat dari Control Panel > Programs > Office 365 > Repair.
1690,Outlook tidak menampilkan kalender bersama,Pastikan pengguna memberi izin berbagi kalender dengan level “Can View All Details”.
1691,Tidak bisa menandai email dengan bendera,Pastikan mode “Conversation View” aktif agar tanda bendera muncul.
1692,Office 365 tidak bisa update otomatis,Pastikan koneksi internet aktif dan opsi pembaruan otomatis diaktifkan di Account Settings.
1693,Outlook tidak bisa login karena kesalahan autentikasi,Nonaktifkan sementara autentikasi multi-faktor lalu login ulang.
1694,Outlook Web error “We can’t reach the server”,Periksa koneksi internet dan coba buka di browser lain.
1695,Office 365 Word tidak menampilkan add-in,Aktifkan add-in dari tab Insert > My Add-ins dan pastikan add-in tidak diblokir admin.
1696,Outlook tidak bisa export kontak,Gunakan menu File > Open & Export > Import/Export lalu pilih format CSV.
1697,Outlook Web tidak menampilkan folder tambahan,Klik opsi “Show all folders” di sidebar kiri untuk menampilkan semua folder.
1698,Email keluar tapi tidak sampai ke penerima eksternal,Hubungi admin IT untuk memastikan domain perusahaan tidak diblokir oleh server eksternal.
1699,Outlook Desktop tidak bisa menghapus folder lama,"Klik kanan folder dan pilih “Close ”, lalu restart Outlook."
1700,Office 365 Excel tidak bisa buka file bersama,Tutup file di perangkat lain yang sedang menggunakannya dan buka ulang.
1701,Outlook tidak bisa sinkron setelah update Office,Jalankan perbaikan akun email dari menu File > Account Settings > Repair.
1702,Tidak bisa login ke akun Google,"Pastikan email dan kata sandi benar, serta koneksi internet stabil. Jika lupa kata sandi, gunakan fitur “Lupa Sandi” di halaman login."
1703,Akun Google terkunci karena aktivitas mencurigakan,Coba login melalui perangkat yang biasa digunakan dan ikuti langkah verifikasi identitas dari Google.
1704,Lupa kata sandi Gmail,Gunakan fitur pemulihan akun dengan nomor telepon atau email pemulihan yang terdaftar.
1705,Tidak bisa menerima email di Gmail,"Periksa ruang penyimpanan Google Drive, pastikan tidak penuh, dan periksa folder Spam."
1706,Tidak bisa mengirim email di Gmail,Pastikan koneksi internet stabil dan ukuran lampiran tidak melebihi batas 25 MB.
1707,Akun Google dinonaktifkan sementara,Ikuti petunjuk pemulihan yang dikirim Google ke email pemulihan atau halaman bantuan akun.
1708,Akun Google keluar sendiri dari semua perangkat,Periksa apakah ada aktivitas login mencurigakan dan ubah kata sandi untuk keamanan.
1709,Tidak bisa menambahkan akun Google di browser,"Hapus cache dan cookie browser, lalu coba tambahkan akun kembali."
1710,Verifikasi dua langkah Google tidak bisa digunakan,Pastikan perangkat verifikasi aktif dan kode autentikasi tidak kedaluwarsa.
1711,Kode verifikasi tidak terkirim ke ponsel,Pastikan sinyal seluler kuat dan nomor telepon benar terhubung dengan akun Google.
1712,Gmail tidak bisa dibuka di browser,"Hapus cache dan cookie browser, lalu coba buka Gmail dalam mode incognito."
1713,Gmail lambat saat memuat email,Nonaktifkan ekstensi browser yang tidak perlu dan periksa kecepatan koneksi internet.
1714,Tidak bisa membuka lampiran di Gmail,Pastikan antivirus tidak memblokir file dan gunakan browser versi terbaru.
1715,Gmail terus logout otomatis,Aktifkan opsi “Tetap Masuk” saat login dan pastikan cookie browser tidak dihapus otomatis.
1716,Akun Google terhapus secara tidak sengaja,Gunakan halaman pemulihan akun Google dalam waktu maksimal 20 hari setelah penghapusan.
1717,Tidak bisa membuat akun Google baru,Pastikan koneksi stabil dan semua kolom pendaftaran diisi dengan benar tanpa karakter khusus.
1718,Gmail menampilkan pesan “Account temporarily unavailable”,"Tunggu beberapa menit dan coba login kembali, biasanya karena pemeliharaan server."
1719,Tidak bisa login karena lupa email,Gunakan halaman pemulihan “Lupa alamat email” dengan nomor ponsel atau nama lengkap.
1720,Akun Google diblokir karena pelanggaran kebijakan,Baca email pemberitahuan dari Google dan ajukan banding melalui formulir resmi.
1721,Tidak bisa sinkronisasi akun Google di perangkat,Pastikan sinkronisasi otomatis aktif di pengaturan akun perangkat.
1722,Gmail tidak menampilkan email lama,Gunakan fitur pencarian dengan filter tanggal untuk menampilkan pesan lama.
1723,Gmail menampilkan error “Something went wrong”,"Segarkan halaman, hapus cache, dan coba login kembali di tab baru."
1724,Tidak bisa menambahkan akun Google di Microsoft Outlook,Pastikan IMAP aktif di pengaturan Gmail dan gunakan kata sandi aplikasi jika MFA aktif.
1725,Gmail tidak menerima notifikasi di desktop,Aktifkan notifikasi di pengaturan Gmail dan izinkan notifikasi dari browser.
1726,Tidak bisa mengunduh lampiran Gmail,Coba nonaktifkan ekstensi pemblokir iklan dan pastikan koneksi internet stabil.
1727,Gmail menolak login karena perangkat tidak dikenali,Gunakan perangkat yang biasa digunakan untuk login dan konfirmasi melalui notifikasi keamanan Google.
1728,Tidak bisa login ke akun Google di perangkat kantor,Pastikan firewall atau proxy kantor tidak memblokir domain Google.
1729,Akun Google terus meminta verifikasi identitas,Tambahkan nomor telepon dan email pemulihan yang valid di pengaturan akun.
1730,Tidak bisa menghapus akun Google dari perangkat,"Buka Pengaturan > Akun > Google, lalu pilih “Hapus Akun dari Perangkat”."
1731,Gmail menampilkan pesan “Quota exceeded”,Hapus email besar dan kosongkan folder Spam serta Trash.
1732,Tidak bisa menambahkan profil baru di Chrome,Pastikan login ke akun Google berhasil dan sinkronisasi aktif.
1733,Google Drive tidak bisa diakses,Periksa koneksi internet dan status layanan Google Drive melalui halaman status Google.
1734,Tidak bisa mengunggah file ke Google Drive,Pastikan ruang penyimpanan masih tersedia dan ukuran file tidak melebihi batas 5 TB.
1735,File di Google Drive hilang,Cek folder “Sampah” dan pulihkan file jika belum lebih dari 30 hari dihapus.
1736,Google Drive tidak bisa sinkron di komputer,Jalankan ulang aplikasi Drive for Desktop dan pastikan akun login benar.
1737,Tidak bisa berbagi file di Google Drive,Pastikan kamu memiliki izin edit dan atur visibilitas file ke “Siapa pun dengan tautan”.
1738,Google Drive tidak bisa dibuka di browser,Hapus cache dan cookie lalu buka ulang Drive di tab baru.
1739,Google Docs tidak bisa disimpan,Periksa koneksi internet dan pastikan file tidak dalam mode baca-saja.
1740,Tidak bisa mengunduh file dari Google Docs,Gunakan menu File > Download dan pastikan browser tidak memblokir unduhan.
1741,Google Meet tidak bisa digunakan,Pastikan kamera dan mikrofon diizinkan di pengaturan browser.
1742,Tidak bisa login ke Google Meet dengan akun kerja,Pastikan akun Google Workspace aktif dan tidak dibatasi oleh admin.
1743,Google Calendar tidak menampilkan acara,Aktifkan kalender yang relevan di daftar sebelah kiri tampilan Calendar.
1744,Tidak bisa menambahkan acara di Google Calendar,Pastikan akun terhubung dan sinkronisasi aktif.
1745,Google Contacts tidak menampilkan daftar kontak,Sinkronkan ulang kontak dari perangkat atau akun Google.
1746,Gmail menolak lampiran berformat ZIP,Kompres ulang file tanpa password dan kirim kembali.
1747,Gmail tidak bisa menandai email sebagai penting,Aktifkan fitur “Important markers” di pengaturan Gmail.
1748,Gmail tidak bisa mencari email tertentu,Gunakan pencarian lanjutan dengan kata kunci spesifik atau label.
1749,Gmail menampilkan pesan “Server error”,"Tunggu beberapa menit lalu coba lagi, biasanya karena gangguan sementara di server Google."
1750,Tidak bisa login ke akun Google melalui aplikasi pihak ketiga,Aktifkan “Akses aplikasi yang kurang aman” atau gunakan OAuth 2.0 jika didukung.
1751,Akun Google tidak bisa ditambahkan ke ponsel baru,Pastikan koneksi internet stabil dan autentikasi dua langkah diselesaikan.
1752,Gmail menampilkan error “Temporary Error (500)”,Refresh halaman dan coba login setelah beberapa saat.
1753,Tidak bisa menautkan akun Google ke layanan lain,Periksa apakah akun dilindungi MFA dan tambahkan izin aplikasi di pengaturan keamanan.
1754,Google Drive tidak bisa menghapus file,Pastikan kamu pemilik file atau memiliki izin edit.
1755,Tidak bisa login ke YouTube dengan akun Google,Pastikan akun tidak dibatasi oleh kebijakan organisasi atau parental control.
1756,Gmail tidak bisa diakses melalui Outlook,Aktifkan IMAP di pengaturan Gmail dan gunakan kata sandi aplikasi jika perlu.
1757,Gmail error “Account storage full”,Kosongkan file besar di Google Drive dan Foto untuk menambah ruang.
1758,Google Drive tidak menampilkan folder tertentu,Klik “Shared with me” untuk melihat file yang dibagikan oleh pengguna lain.
1759,Tidak bisa login ke akun Google karena lupa nomor pemulihan,Gunakan email pemulihan atau pertanyaan keamanan untuk memulihkan akses.
1760,Gmail tidak bisa menampilkan lampiran gambar,Pastikan opsi “Tampilkan gambar eksternal” aktif di pengaturan Gmail.
1761,Akun Google tidak bisa digunakan di Chromebook,Pastikan akun memiliki izin login di perangkat tersebut.
1762,Gmail lambat mengirim pesan,Hapus cache browser dan pastikan tidak ada ekstensi mengganggu.
1763,Tidak bisa logout dari akun Google,"Buka halaman akun.google.com > Keamanan > Perangkat Anda, lalu pilih “Keluar dari semua perangkat”."
1764,Akun Google sering logout otomatis,Pastikan sinkronisasi aktif dan cookie browser tidak dihapus otomatis.
1765,Gmail tidak menampilkan ikon label,Aktifkan tampilan label di pengaturan “Label Settings”.
1766,Tidak bisa menambahkan akun Google Workspace,Pastikan domain terdaftar aktif dan akun tidak dibatasi oleh admin.
1767,Google Drive lambat memuat file,Tutup tab lain di browser dan pastikan koneksi internet stabil.
1768,Tidak bisa menghapus email di Gmail,Segarkan halaman dan gunakan opsi “Shift + Delete” untuk menghapus permanen.
1769,Gmail menampilkan pesan “You’re offline”,Periksa koneksi internet dan nonaktifkan mode offline Gmail.
1770,Tidak bisa membuka file Google Sheets,Gunakan browser terbaru dan pastikan JavaScript aktif.
1771,Tidak bisa login ke Google Account di aplikasi Android,Hapus cache aplikasi Google Play Services lalu coba ulang login.
1772,Akun Google meminta verifikasi berulang kali,Pastikan perangkat dipercaya dan aktifkan opsi “Jangan tanya lagi di perangkat ini”.
1773,Gmail tidak bisa menampilkan daftar email baru,Klik tombol refresh dan pastikan sinkronisasi aktif.
1774,Google Drive tidak bisa dibuka di ponsel,Perbarui aplikasi Drive ke versi terbaru di Play Store.
1775,Tidak bisa mengganti foto profil akun Google,Pastikan koneksi internet stabil dan coba ganti melalui myaccount.google.com.
1776,Google Form tidak bisa diakses,Pastikan formulir belum dihapus atau ditutup oleh pembuatnya.
1777,Gmail tidak menampilkan ikon bintang,Aktifkan “Starred messages” di pengaturan tampilan Gmail.
1778,Tidak bisa menambahkan pengguna baru di Google Workspace,Pastikan kamu memiliki hak admin di konsol Google Workspace.
1779,Google Drive tidak bisa membuka dokumen bersama,Pastikan file belum dihapus dan kamu memiliki izin akses.
1780,Gmail tidak bisa menampilkan lampiran PDF,Nonaktifkan mode keamanan di browser yang memblokir file PDF.
1781,Akun Google tidak bisa digunakan untuk login ke Play Store,"Hapus data dan cache Play Store, lalu login ulang."
1782,Tidak bisa login ke Google Account karena perangkat baru,Gunakan kode verifikasi tambahan melalui nomor telepon atau email pemulihan.
1783,Google Drive tidak bisa menyinkronkan folder,Pilih folder yang ingin disinkronkan di Drive for Desktop Settings.
1784,Gmail tidak bisa menampilkan pesan terkirim,Klik folder “Sent” dan pastikan filter pencarian tidak aktif.
1785,Tidak bisa membuka tautan Google Meet dari Gmail,Pastikan browser default mendukung Google Meet.
1786,Akun Google diblokir karena spam,Tunggu 24 jam dan ubah sandi setelah batas waktu berakhir.
1787,Google Drive menolak unggahan karena virus,Pindai file dengan antivirus lokal sebelum diunggah kembali.
1788,Gmail tidak bisa menampilkan pesan terkini di aplikasi,Hapus cache aplikasi Gmail dan perbarui ke versi terbaru.
1789,Tidak bisa mengganti sandi akun Google,Masuk ke myaccount.google.com > Keamanan > Ganti Sandi dan pastikan koneksi aman.
1790,Gmail terus menampilkan iklan yang sama,Hapus cache browser dan nonaktifkan personalisasi iklan di pengaturan Google.
1791,Tidak bisa login ke Google Account di browser lain,Pastikan autentikasi dua langkah sudah dikonfirmasi di perangkat utama.
1792,Google Drive tidak bisa menampilkan preview file,Pastikan file tidak rusak dan formatnya didukung oleh Drive.
1793,Gmail tidak menampilkan email dengan lampiran,Gunakan filter pencarian “has:attachment” untuk menampilkan semua email dengan lampiran.
1794,Tidak bisa login karena verifikasi gagal,Gunakan opsi pemulihan alternatif seperti kode cadangan atau email pemulihan.
1795,Gmail tidak bisa mengirim pesan ke domain tertentu,Pastikan domain penerima aktif dan tidak menolak pesan dari Gmail.
1796,Google Account menunjukkan aktivitas login tidak dikenal,Segera ubah kata sandi dan tinjau perangkat di halaman keamanan akun.
1797,Tidak bisa login ke akun Google karena captcha,Pastikan koneksi internet stabil dan nonaktifkan VPN sementara.
1798,Gmail tidak bisa diakses melalui IMAP,Aktifkan IMAP di pengaturan Gmail dan pastikan port 993 terbuka.
1799,Google Drive tidak bisa menampilkan file bersama,Buka tab “Shared with me” untuk melihat file dari pengguna lain.
1800,Akun Google tidak bisa dipulihkan meski data benar,Coba ulangi pemulihan dengan perangkat yang biasa digunakan untuk login.
1801,Gmail menampilkan error “Authentication failed”,"Periksa kredensial akun, aktifkan IMAP, dan pastikan koneksi jaringan stabil."
1802,Timbangan Werum tidak menyala,"Periksa kabel daya, soket listrik, dan fuse internal. Pastikan sumber daya berfungsi dengan baik."
1803,Layar timbangan tidak menampilkan apapun,Pastikan kabel display terpasang dengan benar dan power supply sesuai tegangan yang dibutuhkan.
1804,Timbangan menampilkan pesan “Error”,"Lakukan reset sistem, lalu periksa koneksi load cell dan modul penguat sinyal."
1805,Nilai timbangan tidak nol saat tanpa beban,Tekan tombol Zero atau Tare untuk mengatur titik nol sebelum digunakan.
1806,Timbangan menunjukkan hasil negatif tanpa beban,Cek apakah ada benda di bawah platform yang menekan load cell.
1807,Hasil penimbangan tidak stabil,"Pastikan timbangan diletakkan di permukaan datar, bebas getaran, dan tidak terkena angin."
1808,Timbangan tidak membaca beban,"Periksa kabel load cell, sensor load cell, dan konektor amplifier."
1809,Pembacaan timbangan terlalu lambat,Cek parameter filter digital dan tingkat sensitivitas pada pengaturan timbangan.
1810,Nilai pembacaan terlalu tinggi dari beban sebenarnya,Kalibrasi ulang menggunakan beban standar dengan nilai yang diketahui.
1811,Nilai pembacaan terlalu rendah,Periksa apakah load cell sudah aus atau kabel sinyal lemah.
1812,Timbangan menunjukkan “Overload”,Pastikan beban tidak melebihi kapasitas maksimal dan kosongkan platform.
1813,Timbangan mati secara tiba-tiba,"Cek adaptor daya, konektor longgar, atau kerusakan pada papan sirkuit utama."
1814,Timbangan menampilkan pesan “Cal Err” saat kalibrasi,Gunakan beban kalibrasi yang sesuai dan ulangi proses dengan benar.
1815,Tidak bisa masuk ke mode kalibrasi,Pastikan hanya teknisi dengan akses admin yang mencoba dan tombol kombinasi ditekan dengan benar.
1816,Tombol panel tidak berfungsi,Bersihkan tombol dari debu atau ganti modul keypad jika rusak.
1817,Layar timbangan redup,Atur kontras layar dari menu pengaturan atau ganti backlight display.
1818,Timbangan sering reboot sendiri,Periksa kestabilan arus listrik dan ganti adaptor jika tegangan tidak stabil.
1819,Timbangan menampilkan angka acak,Pastikan grounding baik dan jauhkan dari sumber elektromagnetik seperti motor listrik.
1820,Data hasil timbangan tidak tersimpan,Periksa pengaturan penyimpanan data dan pastikan media penyimpanan tidak penuh.
1821,Tidak bisa mengirim data ke komputer,"Cek kabel komunikasi (RS-232, RS-485, USB) dan pastikan protokol komunikasi sesuai."
1822,Software Werum tidak mendeteksi perangkat,Pastikan driver timbangan terinstal dan port komunikasi sesuai dengan pengaturan sistem.
1823,Timbangan tidak terhubung ke jaringan LAN,"Periksa kabel Ethernet, alamat IP, dan konfigurasi jaringan."
1824,Nilai berat berubah-ubah meskipun beban tetap,Kalibrasi ulang dan pastikan tidak ada getaran atau aliran udara di sekitar timbangan.
1825,Timbangan menunjukkan nilai nol terus,"Periksa sinyal load cell dan amplifier. Jika tidak ada tegangan, sensor mungkin rusak."
1826,Indikator LED tidak berfungsi,Cek sambungan internal LED dan ganti modul indikator jika rusak.
1827,Timbangan tidak merespons saat dihidupkan,Lakukan reset manual dan periksa sakelar utama pada panel kontrol.
1828,Timbangan tidak bisa mengirim sinyal ke printer,Pastikan printer terhubung dan format data output diatur sesuai kebutuhan.
1829,Hasil penimbangan berbeda di lokasi berbeda,Pastikan timbangan di-level ulang di setiap lokasi sebelum digunakan.
1830,Load cell rusak,Ganti load cell dan lakukan kalibrasi ulang untuk menyesuaikan sinyal baru.
1831,Timbangan menunjukkan hasil berbeda setiap kali diukur,Pastikan beban ditempatkan di tengah platform dan tidak bergeser.
1832,Timbangan tidak bisa taring beban,Cek fungsi tombol Tare dan pastikan beban dalam batas toleransi.
1833,Suara buzzer tidak berfungsi,Cek pengaturan alarm suara atau sambungan speaker internal.
1834,Timbangan menunjukkan hasil dalam satuan salah,"Ubah unit pengukuran di menu pengaturan (misalnya kg, g, lb)."
1835,Sistem tidak menyimpan hasil kalibrasi,Pastikan baterai internal untuk memori pengaturan masih berfungsi.
1836,Timbangan tidak menampilkan ID perangkat,Periksa firmware dan pastikan nomor seri sudah terdaftar di sistem.
1837,Data penimbangan tidak terkirim ke server,Cek koneksi jaringan dan protokol komunikasi di software Werum.
1838,Timbangan tidak sinkron dengan sistem produksi,Jalankan sinkronisasi manual dan pastikan format data sesuai dengan ERP/MES.
1839,Tampilan berat terhenti,Tekan tombol “Hold” untuk menonaktifkan fungsi tahan berat.
1840,Timbangan tidak mendeteksi beban kecil,Atur resolusi dan sensitivitas minimal pada pengaturan perangkat.
1841,Pembacaan berat berubah setelah beberapa detik,Pastikan platform tidak bergerak dan tidak ada perubahan suhu ekstrem.
1842,Timbangan gagal update firmware,Gunakan kabel data asli dan pastikan daya tidak terputus selama pembaruan.
1843,Tidak bisa login ke sistem pengaturan timbangan,Gunakan akun admin dan pastikan password benar.
1844,Timbangan mengeluarkan bunyi beep terus menerus,Cek apakah ada error pada load cell atau kapasitas beban terlampaui.
1845,Tidak bisa mencetak hasil penimbangan,Pastikan printer aktif dan kertas tersedia. Periksa juga pengaturan port output.
1846,Hasil timbangan tidak sesuai dengan alat pembanding,Lakukan kalibrasi ulang menggunakan beban standar bersertifikat.
1847,Timbangan tidak merespons perintah kalibrasi otomatis,Restart perangkat dan ulangi proses setelah sistem siap.
1848,Sensor suhu internal error,Pastikan suhu ruangan dalam rentang operasional perangkat.
1849,Layar menampilkan kode error tak dikenal,Cek manual perangkat untuk arti kode dan lakukan tindakan sesuai panduan.
1850,Kabel load cell mudah longgar,Gunakan konektor pengunci dan hindari tarikan kabel berlebih.
1851,Hasil timbangan meloncat-loncat,Pastikan tidak ada getaran meja atau gangguan dari mesin sekitar.
1852,Timbangan tidak merespons beban besar,Pastikan beban tidak melebihi kapasitas maksimal dan sensor overload berfungsi normal.
1853,Nilai berat berbeda setiap kali restart,Simpan hasil kalibrasi secara permanen sebelum mematikan perangkat.
1854,Timbangan gagal booting,"Lakukan pemeriksaan hardware utama, terutama board CPU dan power module."
1855,Modul RS-232 tidak terdeteksi,Pastikan port komunikasi diaktifkan dari pengaturan perangkat.
1856,Tidak bisa ekspor data ke USB,Format ulang flashdisk ke FAT32 dan pastikan kapasitas tidak penuh.
1857,Indikator berat tidak berubah saat menambah beban,Cek apakah load cell short atau amplifier tidak bekerja.
1858,Timbangan mengeluarkan bau gosong,Segera matikan perangkat dan periksa kemungkinan korsleting.
1859,Fungsi auto-off terlalu cepat,Ubah pengaturan waktu mati otomatis di menu sistem.
1860,Layar timbangan berkedip,"Cek suplai listrik, mungkin ada fluktuasi tegangan."
1861,Timbangan tidak bisa reset ke pengaturan pabrik,Gunakan kombinasi tombol reset sesuai manual teknis.
1862,Sistem waktu tidak sesuai,Atur ulang tanggal dan waktu di menu pengaturan.
1863,Timbangan mengirim data acak ke komputer,Pastikan baud rate dan parity setting sama antara perangkat dan komputer.
1864,Kabel komunikasi putus,Ganti kabel data dan pastikan shield grounding tersambung dengan baik.
1865,Timbangan tidak mau standby,Pastikan tombol mode tidak tersangkut dan periksa firmware sleep mode.
1866,Timbangan sering disconnect dari software,Periksa stabilitas jaringan dan driver USB/serial di komputer.
1867,Timbangan gagal login user operator,Reset password operator melalui akun admin.
1868,Tidak bisa mengganti kapasitas timbangan,Pastikan parameter kapasitas hanya bisa diubah oleh teknisi bersertifikat.
1869,Nilai berat terus menurun walau beban tetap,Periksa stabilitas sensor dan kemungkinan kebocoran sinyal dari amplifier.
1870,Fungsi counting tidak akurat,Lakukan kalibrasi ulang pada mode counting dengan beban referensi.
1871,Timbangan tidak bisa menyimpan hasil counting,Pastikan mode penyimpanan aktif dan media tidak penuh.
1872,Timbangan menampilkan “Low Battery”,Ganti baterai internal atau sambungkan ke adaptor daya.
1873,Waktu boot terlalu lama,Hapus log lama dan lakukan perawatan sistem secara berkala.
1874,Hasil penimbangan berubah setelah lama digunakan,Lakukan kalibrasi berkala dan pastikan suhu ruangan stabil.
1875,Timbangan tidak bisa dikalibrasi eksternal,Gunakan mode teknisi dan pastikan sensor load cell aktif.
1876,Suhu sekitar mempengaruhi hasil,Gunakan di ruangan bersuhu stabil untuk menghindari drift pembacaan.
1877,Timbangan tidak menyimpan pengaturan user,Periksa baterai RTC atau memori internal.
1878,Hasil timbangan delay saat dikirim ke sistem,Kurangi interval komunikasi atau tingkatkan baud rate.
1879,Nilai berat terpotong di tampilan layar,Atur format digit dan lebar tampilan di pengaturan display.
1880,Tampilan “CAL LOCK” tidak bisa dihapus,Nonaktifkan mode pengunci kalibrasi melalui pengaturan admin.
1881,Timbangan gagal koneksi dengan PLC,Sesuaikan format data output sesuai protokol PLC yang digunakan.
1882,Layar blank tapi lampu indikator hidup,Periksa kabel fleksibel antara board dan panel display.
1883,Tombol power tidak berfungsi,Ganti switch power atau periksa jalur tegangan utama.
1884,Timbangan menampilkan nilai tetap 0.000,"Periksa sinyal dari load cell, mungkin open circuit."
1885,Data penimbangan tidak terupdate di sistem ERP,Pastikan API koneksi aktif dan sinkronisasi berjalan otomatis.
1886,Nilai berat berfluktuasi setiap kali diukur,"Periksa sistem mekanik timbangan, pastikan tidak longgar."
1887,Timbangan gagal deteksi perangkat tambahan,Pastikan modul ekstensi dikenali dan firmware kompatibel.
1888,Timbangan tidak bisa menampilkan unit ganda,Aktifkan opsi multi-unit di pengaturan satuan.
1889,Hasil timbangan tidak tersimpan di log internal,Periksa kapasitas memori internal dan aktifkan auto-save.
1890,Nilai berat tampil tidak sesuai display,Cek kabel sinyal ke indikator utama dan lakukan kalibrasi ulang.
1891,Timbangan tidak bisa update waktu otomatis,Aktifkan sinkronisasi waktu NTP jika terkoneksi jaringan.
1892,Tombol Print tidak merespons,Pastikan kabel printer terpasang dan port aktif.
1893,Timbangan tidak bisa menampilkan ID produk,Pastikan database produk tersimpan dengan benar di memori perangkat.
1894,Indikator status tidak berubah saat beban naik,Cek sensor threshold atau pengaturan limit berat.
1895,Nilai berat berbeda di tampilan dan data ekspor,"Samakan format output (decimal separator, rounding) di sistem."
1896,Timbangan tidak membaca beban kecil dengan tepat,Periksa sensitivitas amplifier dan tingkat resolusi ADC.
1897,Hasil timbangan tidak keluar di laporan,Aktifkan fungsi auto-report pada software Werum.
1898,Timbangan menunjukkan pesan “EEPROM Error”,"Reset sistem dan jika tetap muncul, ganti IC EEPROM."
1899,Nilai berat berubah saat ditiup angin,Gunakan pelindung angin atau penutup timbangan selama pengukuran.
1900,Timbangan tidak bisa login ke server Werum MES,Pastikan kredensial benar dan koneksi LAN aman.
1901,Timbangan tidak merespons perintah dari software,"Cek port komunikasi, driver, dan firmware kompatibilitas versi."
1902,Mesin fingerprint tidak menyala,"Periksa sumber listrik, adaptor, dan kabel daya. Pastikan tegangan masuk sesuai spesifikasi."
1903,Layar mesin fingerprint gelap,"Cek tombol power dan kabel display internal. Jika perlu, lakukan reset perangkat."
1904,Mesin fingerprint tidak merespons sentuhan jari,"Bersihkan sensor dari debu dan keringat, lalu coba ulangi pendaftaran jari."
1905,Sidik jari tidak terdeteksi,Pastikan jari dalam keadaan bersih dan sensor bebas kotoran atau minyak.
